coordinates,mechanic_stairs,line,url_linea,elevator,accesible,station
" -3.6763772762447107, 40.47680705593772 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-152,True,True,Bambú
" -3.682593278115451, 40.4720227901636 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-151,True,True,Chamartín
" -3.689182340661554, 40.466893623466774 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-101,True,False,Plaza de Castilla
" -3.6950664665123973, 40.46441695832889 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-102,False,False,Valdeacederas
" -3.6950664665123973, 40.46441695832889 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-103,False,False,Tetuán
" -3.703028749396468, 40.454278749227846 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-104,False,False,Estrecho
" -3.7033178070796913, 40.45033105413335 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-105,False,False,Alvarado
" -3.7039784766540205, 40.446966678007556 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-106,True,True,Cuatro Caminos
" -3.7039784766540205, 40.446966678007556 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-107,False,False,Ríos Rosas
" -3.698983453377392, 40.43491591143403 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-108,True,True,Iglesia
" -3.702188295886296, 40.42904963582931 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-109,False,False,Bilbao
" -3.71635730886455, 40.491088577548204 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-951,True,True,Mirasierra
" -3.7075223938390494, 40.484656572327964 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-901,False,False,Herrera Oria
" -3.7031700829535565, 40.47688138899434 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-902,False,False,Barrio del Pilar
" -3.6958849000624356, 40.46943002884863 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-903,False,False,Ventilla
" -3.689182340661554, 40.466893623466774 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-101,True,False,Plaza de Castilla
" -3.6791750808454435, 40.46761952315198 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-905,False,False,Duque de Pastrana
" -3.6791750808454435, 40.46761952315198 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-906,False,False,Pío XII
" -3.676832402038624, 40.456336002823406 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-802,True,True,Colombia
" -3.6773847300795506, 40.451440884039954 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-908,False,False,Concha Espina
" -3.774618016060599, 40.39697434800015 ",True,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-1016,True,True,Colonia Jardín
" -3.78399891339169, 40.39708229442025 ",False,ml3,https://www.metromadrid.es/es/linea/ml3#estacion-5312,False,True,Ciudad de la Imagen
" -3.7401861342319944, 40.33663165911443 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1225,True,True,El Carrascal
" -3.7401861342319944, 40.33663165911443 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1226,True,True,Julián Besteiro
" -3.759428416851752, 40.32659685107382 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1227,True,True,Casa del Reloj
" -3.767978430492755, 40.321765545104476 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1228,True,True,Hospital Severo Ochoa
" -3.767978430492755, 40.321765545104476 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1229,True,True,Leganés Central
" -3.7758763365834476, 40.33615451429297 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1230,True,True,San Nicasio
" -3.7258995067914737, 40.49510106705936 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-723,True,True,Pitis
" -3.611465758862776, 40.55976240170775 ",True,linea-10,https://www.metromadrid.es/es/linea/linea-10#estacion-1061,True,True,Hospital Infanta Sofía
