mechanic_stairs,accesible,station,elevator,line,coordinates
True,True,Ópera,True,linea-5," -3.7094295067152068, 40.41808648235822 "
True,False,La Latina,False,linea-5," -3.7081675783047383, 40.4112743722751 "
False,False,Puerta de Toledo,False,linea-5," -3.711057633812725, 40.40703138929742 "
False,False,Acacias,False,linea-5," -3.7066522311398944, 40.40386919094474 "
True,True,Pirámides,True,linea-5," -3.7066522311398944, 40.40386919094474 "
False,False,Marqués de Vadillo,False,linea-5," -3.7066522311398944, 40.40386919094474 "
False,False,Urgel,False,linea-5," -3.723615630429613, 40.39334979453965 "
True,False,Oporto,False,linea-5," -3.731327675889255, 40.38846340308106 "
False,False,Vista Alegre,False,linea-5," -3.7398266451178808, 40.388841774504186 "
False,False,Carabanchel,False,linea-5," -3.751916263742287, 40.37199788960605 "
True,True,Eugenia de Montijo,True,linea-5," -3.7512174724118132, 40.384380915779076 "
True,True,Aluche,True,linea-5," -3.760809652950178, 40.38562451896221 "
False,True,Empalme,False,linea-5," -3.7653543590645233, 40.39056753293377 "
False,False,Campamento,False,linea-5," -3.7681359752950083, 40.39480136388358 "
True,True,Casa de Campo,True,linea-5," -3.7610192808902423, 40.40319981212787 "
