elevator,coordinates,mechanic_stairs,accesible,line,station
True," -3.524799759036857, 40.341341035027426 ",True,True,linea-9,Rivas Futura
True," -3.5206027411300975, 40.32836870738169 ",True,True,linea-9,Rivas Vaciamadrid
True," -3.4774526353611823, 40.31901406572024 ",True,True,linea-9,La Poveda
True," -3.447526065715983, 40.30366479038508 ",True,True,linea-9,Arganda del Rey
True," -3.603312655422655, 40.42374301041612 ",True,True,linea-2,Las Rosas
True," -3.6234033337323037, 40.550374439557125 ",True,True,linea-10,Reyes Católicos
True," -3.635133826137124, 40.55441858507977 ",True,True,linea-10,Baunatal
True," -3.646883386851369, 40.55047958861559 ",True,True,linea-10,Manuel de Falla
True," -3.646883386851369, 40.55047958861559 ",True,True,linea-10,Marqués de la Valdavia
True," -3.635571004361775, 40.53194806540319 ",True,True,linea-10,La Moraleja
True," -3.658599532025724, 40.527593933186594 ",True,True,linea-10,La Granja
True," -3.658599532025724, 40.527593933186594 ",True,True,linea-10,Ronda de la Comunicación
True," -3.669446787174648, 40.50832462832863 ",True,True,linea-10,Las Tablas
True," -3.6957592776154744, 40.50525031559373 ",True,True,linea-10,Montecarmelo
True," -3.6952099494181434, 40.50119961127806 ",True,True,linea-10,Tres Olivos
False," -3.6928338396454277, 40.49507880631472 ",True,False,linea-10,Fuencarral
False," -3.6928338396454277, 40.49507880631472 ",True,False,linea-10,Begoña
True," -3.682593278115451, 40.4720227901636 ",True,True,linea-10,Chamartín
True," -3.689182340661554, 40.466893623466774 ",True,False,linea-10,Plaza de Castilla
False," -3.689862379719021, 40.458421129185616 ",True,False,linea-10,Cuzco
True," -3.6383312545367454, 40.46941986762225 ",True,True,linea-4,Mar de Cristal
True," -3.6395823502616023, 40.47446698722932 ",True,True,linea-4,San Lorenzo
True," -3.6395823502616023, 40.47446698722932 ",True,True,linea-4,Parque de Santa María
True," -3.6525796374794783, 40.47536730266078 ",True,True,linea-4,Hortaleza
True," -3.662905158694452, 40.476867092844046 ",True,True,linea-4,Manoteras
True," -3.6668070437216325, 40.48013291749131 ",True,True,linea-4,Pinar de Chamartín
True," -3.711990993449082, 40.341223138866916 ",True,True,linea-3,San Cristóbal
True," -3.711990993449082, 40.341223138866916 ",True,True,linea-3,Villaverde Bajo-Cruce
True," -3.711990993449082, 40.341223138866916 ",True,True,linea-3,Ciudad de los Ángeles
True," -3.711990993449082, 40.341223138866916 ",True,True,linea-3,San Fermín-Orcasur
True," -3.695855104968134, 40.37502451461551 ",True,True,linea-3,Hospital 12 de Octubre
True," -3.697892329475578, 40.38409341257691 ",True,True,linea-3,Almendrales
True," -3.695125551387507, 40.391146176794116 ",True,True,linea-3,Legazpi
True," -3.6942021511558596, 40.39989953900073 ",True,True,linea-3,Delicias
True," -3.6942347260526547, 40.40307053569799 ",False,True,linea-3,Palos de la Frontera
True," -3.702681992509139, 40.40511861972591 ",True,True,linea-3,Embajadores
True," -3.702681992509139, 40.40511861972591 ",True,True,linea-3,Lavapiés
True," -3.7032639472488222, 40.416871893770455 ",True,True,linea-3,Sol
True," -3.7056671453961694, 40.420127531994346 ",True,True,linea-3,Callao
True," -3.7056671453961694, 40.420127531994346 ",True,True,linea-3,Plaza de España
False," -3.6721577545084036, 40.43933626219724 ",True,False,linea-7,Cartagena
False," -3.6721577545084036, 40.43933626219724 ",True,False,linea-7,Avenida de América
True," -3.6721577545084036, 40.43933626219724 ",True,True,linea-7,Gregorio Marañón
True," -3.699255078803118, 40.43837372987501 ",True,True,linea-7,Alonso Cano
True," -3.704337220993404, 40.43840594045452 ",True,True,linea-7,Canal
True," -3.7137413543146804, 40.43905997233827 ",True,True,linea-7,Islas Filipinas
True," -3.7137413543146804, 40.43905997233827 ",True,True,linea-7,Guzmán el Bueno
